********Training has started***************
(26/27) Data: 61.734s | Batch: 65.775s | Total: 0:02:06 | ETA: 0:00:00 | Loss: 0.6896 | Accuracy: 0.5240 | Macro_F1_score: 0.3336 | Micro_F1_score: 0.5240
(27/27) Data: 64.158s | Batch: 68.188s | Total: 0:02:10 | ETA: 0:00:00 | Loss: 0.6858 | Accuracy: 0.5417 | Macro_F1_score: 0.3583 | Micro_F1_score: 0.5417
 Epoch: [2 | 2]
(1/2) Data: 1.855s | Batch: 38.481s | Total: 0:00:38 | ETA: 0:00:00 | Loss: 2.0277 | Loss_x: 0.6258 | Loss_u: 0.0187 | W: 75.0000
(2/2) Data: 1.794s | Batch: 38.961s | Total: 0:01:17 | ETA: 0:00:00 | Loss: 1.7447 | Loss_x: 0.5406 | Loss_u: 0.0161 | W: 75.0000
************Train_stats*************
(1/2) Data: 0.915s | Batch: 5.197s | Total: 0:00:05 | ETA: 0:00:00 | Loss: 0.6804 | Accuracy: 0.4375 | Macro_F1_score: 0.2000 | Micro_F1_score: 0.4375
(2/2) Data: 3.730s | Batch: 8.351s | Total: 0:00:11 | ETA: 0:00:00 | Loss: 0.6912 | Accuracy: 0.4688 | Macro_F1_score: 0.2250 | Micro_F1_score: 0.4688
************Validation Stats*************
(1/2) Data: 0.673s | Batch: 7.036s | Total: 0:00:07 | ETA: 0:00:00 | Loss: 0.6831 | Accuracy: 0.6875 | Macro_F1_score: 0.3333 | Micro_F1_score: 0.6875
(2/2) Data: 4.411s | Batch: 10.201s | Total: 0:00:13 | ETA: 0:00:00 | Loss: 0.6774 | Accuracy: 0.6250 | Macro_F1_score: 0.3246 | Micro_F1_score: 0.6250
************Test Stats *************
(1/27) Data: 0.756s | Batch: 6.532s | Total: 0:00:06 | ETA: 0:00:00 | Loss: 0.7117 | Accuracy: 0.3750 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.3750
(2/27) Data: 4.165s | Batch: 9.993s | Total: 0:00:13 | ETA: 0:00:00 | Loss: 0.6995 | Accuracy: 0.4688 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4688
(3/27) Data: 7.508s | Batch: 13.241s | Total: 0:00:19 | ETA: 0:00:00 | Loss: 0.7070 | Accuracy: 0.4167 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4167
(4/27) Data: 10.697s | Batch: 16.226s | Total: 0:00:25 | ETA: 0:00:00 | Loss: 0.7087 | Accuracy: 0.3906 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.3906
(5/27) Data: 13.837s | Batch: 19.298s | Total: 0:00:31 | ETA: 0:00:00 | Loss: 0.7055 | Accuracy: 0.4125 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4125
(6/27) Data: 16.884s | Batch: 22.183s | Total: 0:00:36 | ETA: 0:00:00 | Loss: 0.7030 | Accuracy: 0.4167 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4167
(7/27) Data: 19.834s | Batch: 25.036s | Total: 0:00:42 | ETA: 0:00:00 | Loss: 0.6961 | Accuracy: 0.4643 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4643
(8/27) Data: 22.721s | Batch: 27.798s | Total: 0:00:47 | ETA: 0:00:00 | Loss: 0.6957 | Accuracy: 0.4609 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4609
(9/27) Data: 25.493s | Batch: 30.474s | Total: 0:00:51 | ETA: 0:00:00 | Loss: 0.6986 | Accuracy: 0.4653 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4653
(10/27) Data: 28.212s | Batch: 33.119s | Total: 0:00:56 | ETA: 0:00:00 | Loss: 0.7046 | Accuracy: 0.4437 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4437
(11/27) Data: 30.899s | Batch: 35.742s | Total: 0:01:01 | ETA: 0:00:00 | Loss: 0.7003 | Accuracy: 0.4773 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4773
(12/27) Data: 33.580s | Batch: 38.387s | Total: 0:01:07 | ETA: 0:00:00 | Loss: 0.6993 | Accuracy: 0.4792 | Macro_F1_score: 0.0000 | Micro_F1_score: 0.4792
