********Training has started***************
 Epoch: [1 | 30]
(35/512) Data: 0.167s | Batch: 21.743s | Total: 0:12:41 | ETA: 0:00:00 | Loss: 0.7306 | Loss_x: 0.6773 | Loss_u: 0.0205 | W: 2.5830
(36/512) Data: 0.168s | Batch: 21.736s | Total: 0:13:02 | ETA: 0:00:00 | Loss: 0.7283 | Loss_x: 0.6750 | Loss_u: 0.0205 | W: 2.5854
(37/512) Data: 0.168s | Batch: 21.726s | Total: 0:13:23 | ETA: 0:00:00 | Loss: 0.7219 | Loss_x: 0.6687 | Loss_u: 0.0205 | W: 2.5879
(38/512) Data: 0.169s | Batch: 21.720s | Total: 0:13:45 | ETA: 0:00:00 | Loss: 0.7317 | Loss_x: 0.6760 | Loss_u: 0.0214 | W: 2.5903
(39/512) Data: 0.168s | Batch: 21.710s | Total: 0:14:06 | ETA: 0:00:00 | Loss: 0.7198 | Loss_x: 0.6646 | Loss_u: 0.0212 | W: 2.5928
(40/512) Data: 0.168s | Batch: 21.705s | Total: 0:14:28 | ETA: 0:00:00 | Loss: 0.7153 | Loss_x: 0.6605 | Loss_u: 0.0210 | W: 2.5952
(41/512) Data: 0.168s | Batch: 21.696s | Total: 0:14:49 | ETA: 0:00:00 | Loss: 0.7177 | Loss_x: 0.6627 | Loss_u: 0.0211 | W: 2.5977
(42/512) Data: 0.168s | Batch: 21.690s | Total: 0:15:10 | ETA: 0:00:00 | Loss: 0.7091 | Loss_x: 0.6544 | Loss_u: 0.0209 | W: 2.6001
(43/512) Data: 0.168s | Batch: 21.682s | Total: 0:15:32 | ETA: 0:00:00 | Loss: 0.7099 | Loss_x: 0.6553 | Loss_u: 0.0209 | W: 2.6025
(44/512) Data: 0.168s | Batch: 21.678s | Total: 0:15:53 | ETA: 0:00:00 | Loss: 0.7017 | Loss_x: 0.6477 | Loss_u: 0.0207 | W: 2.6050
(45/512) Data: 0.168s | Batch: 21.671s | Total: 0:16:15 | ETA: 0:00:00 | Loss: 0.6908 | Loss_x: 0.6367 | Loss_u: 0.0207 | W: 2.6074
(46/512) Data: 0.168s | Batch: 21.666s | Total: 0:16:36 | ETA: 0:00:00 | Loss: 0.6939 | Loss_x: 0.6387 | Loss_u: 0.0211 | W: 2.6099
(47/512) Data: 0.168s | Batch: 21.659s | Total: 0:16:57 | ETA: 0:00:00 | Loss: 0.6934 | Loss_x: 0.6383 | Loss_u: 0.0210 | W: 2.6123
(48/512) Data: 0.169s | Batch: 21.654s | Total: 0:17:19 | ETA: 0:00:00 | Loss: 0.6939 | Loss_x: 0.6381 | Loss_u: 0.0213 | W: 2.6147
(49/512) Data: 0.169s | Batch: 21.650s | Total: 0:17:40 | ETA: 0:00:00 | Loss: 0.6951 | Loss_x: 0.6384 | Loss_u: 0.0216 | W: 2.6172
(50/512) Data: 0.169s | Batch: 21.645s | Total: 0:18:02 | ETA: 0:00:00 | Loss: 0.6922 | Loss_x: 0.6359 | Loss_u: 0.0214 | W: 2.6196
(51/512) Data: 0.169s | Batch: 21.640s | Total: 0:18:23 | ETA: 0:00:00 | Loss: 0.6931 | Loss_x: 0.6362 | Loss_u: 0.0216 | W: 2.6221
(52/512) Data: 0.169s | Batch: 21.633s | Total: 0:18:44 | ETA: 0:00:00 | Loss: 0.6983 | Loss_x: 0.6411 | Loss_u: 0.0217 | W: 2.6245
(53/512) Data: 0.169s | Batch: 21.626s | Total: 0:19:06 | ETA: 0:00:00 | Loss: 0.6912 | Loss_x: 0.6346 | Loss_u: 0.0215 | W: 2.6270
(54/512) Data: 0.169s | Batch: 21.620s | Total: 0:19:27 | ETA: 0:00:00 | Loss: 0.6960 | Loss_x: 0.6387 | Loss_u: 0.0217 | W: 2.6294
(55/512) Data: 0.168s | Batch: 21.616s | Total: 0:19:48 | ETA: 0:00:00 | Loss: 0.6951 | Loss_x: 0.6373 | Loss_u: 0.0219 | W: 2.6318
(56/512) Data: 0.168s | Batch: 21.613s | Total: 0:20:10 | ETA: 0:00:00 | Loss: 0.6871 | Loss_x: 0.6296 | Loss_u: 0.0218 | W: 2.6343
(57/512) Data: 0.169s | Batch: 21.608s | Total: 0:20:31 | ETA: 0:00:00 | Loss: 0.6784 | Loss_x: 0.6212 | Loss_u: 0.0216 | W: 2.6367
(58/512) Data: 0.168s | Batch: 21.605s | Total: 0:20:53 | ETA: 0:00:00 | Loss: 0.6716 | Loss_x: 0.6140 | Loss_u: 0.0217 | W: 2.6392
(59/512) Data: 0.168s | Batch: 21.601s | Total: 0:21:14 | ETA: 0:00:00 | Loss: 0.6678 | Loss_x: 0.6102 | Loss_u: 0.0217 | W: 2.6416
(60/512) Data: 0.168s | Batch: 21.601s | Total: 0:21:36 | ETA: 0:00:00 | Loss: 0.6687 | Loss_x: 0.6107 | Loss_u: 0.0219 | W: 2.6440
(61/512) Data: 0.168s | Batch: 21.597s | Total: 0:21:57 | ETA: 0:00:00 | Loss: 0.6665 | Loss_x: 0.6084 | Loss_u: 0.0219 | W: 2.6465
(62/512) Data: 0.168s | Batch: 21.594s | Total: 0:22:18 | ETA: 0:00:00 | Loss: 0.6670 | Loss_x: 0.6085 | Loss_u: 0.0220 | W: 2.6489
(63/512) Data: 0.167s | Batch: 21.589s | Total: 0:22:40 | ETA: 0:00:00 | Loss: 0.6679 | Loss_x: 0.6095 | Loss_u: 0.0219 | W: 2.6514
(64/512) Data: 0.167s | Batch: 21.588s | Total: 0:23:01 | ETA: 0:00:00 | Loss: 0.6664 | Loss_x: 0.6083 | Loss_u: 0.0218 | W: 2.6538
(65/512) Data: 0.167s | Batch: 21.585s | Total: 0:23:23 | ETA: 0:00:00 | Loss: 0.6627 | Loss_x: 0.6048 | Loss_u: 0.0217 | W: 2.6562
(66/512) Data: 0.167s | Batch: 21.584s | Total: 0:23:44 | ETA: 0:00:00 | Loss: 0.6607 | Loss_x: 0.6030 | Loss_u: 0.0217 | W: 2.6587
(67/512) Data: 0.167s | Batch: 21.581s | Total: 0:24:05 | ETA: 0:00:00 | Loss: 0.6551 | Loss_x: 0.5978 | Loss_u: 0.0215 | W: 2.6611
(68/512) Data: 0.167s | Batch: 21.577s | Total: 0:24:27 | ETA: 0:00:00 | Loss: 0.6553 | Loss_x: 0.5983 | Loss_u: 0.0214 | W: 2.6636
(69/512) Data: 0.167s | Batch: 21.575s | Total: 0:24:48 | ETA: 0:00:00 | Loss: 0.6502 | Loss_x: 0.5933 | Loss_u: 0.0213 | W: 2.6660
(70/512) Data: 0.167s | Batch: 21.573s | Total: 0:25:10 | ETA: 0:00:00 | Loss: 0.6513 | Loss_x: 0.5936 | Loss_u: 0.0215 | W: 2.6685
(71/512) Data: 0.166s | Batch: 21.571s | Total: 0:25:31 | ETA: 0:00:00 | Loss: 0.6531 | Loss_x: 0.5952 | Loss_u: 0.0216 | W: 2.6709
(72/512) Data: 0.166s | Batch: 21.575s | Total: 0:25:53 | ETA: 0:00:00 | Loss: 0.6545 | Loss_x: 0.5960 | Loss_u: 0.0218 | W: 2.6733
(73/512) Data: 0.166s | Batch: 21.572s | Total: 0:26:14 | ETA: 0:00:00 | Loss: 0.6538 | Loss_x: 0.5957 | Loss_u: 0.0217 | W: 2.6758
(74/512) Data: 0.166s | Batch: 21.570s | Total: 0:26:36 | ETA: 0:00:00 | Loss: 0.6483 | Loss_x: 0.5906 | Loss_u: 0.0215 | W: 2.6782
(75/512) Data: 0.166s | Batch: 21.566s | Total: 0:26:57 | ETA: 0:00:00 | Loss: 0.6511 | Loss_x: 0.5931 | Loss_u: 0.0216 | W: 2.6807
(76/512) Data: 0.166s | Batch: 21.563s | Total: 0:27:18 | ETA: 0:00:00 | Loss: 0.6502 | Loss_x: 0.5926 | Loss_u: 0.0214 | W: 2.6831
(77/512) Data: 0.166s | Batch: 21.560s | Total: 0:27:40 | ETA: 0:00:00 | Loss: 0.6485 | Loss_x: 0.5910 | Loss_u: 0.0214 | W: 2.6855
(78/512) Data: 0.166s | Batch: 21.557s | Total: 0:28:01 | ETA: 0:00:00 | Loss: 0.6429 | Loss_x: 0.5852 | Loss_u: 0.0214 | W: 2.6880
(79/512) Data: 0.166s | Batch: 21.554s | Total: 0:28:22 | ETA: 0:00:00 | Loss: 0.6438 | Loss_x: 0.5857 | Loss_u: 0.0216 | W: 2.6904
(80/512) Data: 0.166s | Batch: 21.553s | Total: 0:28:44 | ETA: 0:00:00 | Loss: 0.6455 | Loss_x: 0.5874 | Loss_u: 0.0215 | W: 2.6929
(81/512) Data: 0.166s | Batch: 21.551s | Total: 0:29:05 | ETA: 0:00:00 | Loss: 0.6477 | Loss_x: 0.5889 | Loss_u: 0.0218 | W: 2.6953
(82/512) Data: 0.166s | Batch: 21.549s | Total: 0:29:27 | ETA: 0:00:00 | Loss: 0.6496 | Loss_x: 0.5908 | Loss_u: 0.0218 | W: 2.6978
(83/512) Data: 0.166s | Batch: 21.547s | Total: 0:29:48 | ETA: 0:00:00 | Loss: 0.6499 | Loss_x: 0.5910 | Loss_u: 0.0218 | W: 2.7002
(84/512) Data: 0.165s | Batch: 21.546s | Total: 0:30:09 | ETA: 0:00:00 | Loss: 0.6513 | Loss_x: 0.5922 | Loss_u: 0.0218 | W: 2.7026
(85/512) Data: 0.165s | Batch: 21.543s | Total: 0:30:31 | ETA: 0:00:00 | Loss: 0.6490 | Loss_x: 0.5902 | Loss_u: 0.0217 | W: 2.7051
(86/512) Data: 0.165s | Batch: 21.541s | Total: 0:30:52 | ETA: 0:00:00 | Loss: 0.6446 | Loss_x: 0.5861 | Loss_u: 0.0216 | W: 2.7075
(87/512) Data: 0.165s | Batch: 21.539s | Total: 0:31:13 | ETA: 0:00:00 | Loss: 0.6452 | Loss_x: 0.5866 | Loss_u: 0.0216 | W: 2.7100
(88/512) Data: 0.165s | Batch: 21.538s | Total: 0:31:35 | ETA: 0:00:00 | Loss: 0.6454 | Loss_x: 0.5870 | Loss_u: 0.0215 | W: 2.7124
(89/512) Data: 0.165s | Batch: 21.536s | Total: 0:31:56 | ETA: 0:00:00 | Loss: 0.6413 | Loss_x: 0.5831 | Loss_u: 0.0214 | W: 2.7148
(90/512) Data: 0.165s | Batch: 21.533s | Total: 0:32:17 | ETA: 0:00:00 | Loss: 0.6367 | Loss_x: 0.5787 | Loss_u: 0.0213 | W: 2.7173
(91/512) Data: 0.165s | Batch: 21.530s | Total: 0:32:39 | ETA: 0:00:00 | Loss: 0.6352 | Loss_x: 0.5775 | Loss_u: 0.0212 | W: 2.7197
