********Training has started***************
 Epoch: [1 | 30]
(35/512) Data: 0.527s | Batch: 23.899s | Total: 0:13:56 | ETA: 0:00:00 | Loss: 0.4306 | Loss_x: 0.3738 | Loss_u: 0.0220 | W: 2.5830
(36/512) Data: 0.531s | Batch: 23.890s | Total: 0:14:20 | ETA: 0:00:00 | Loss: 0.4291 | Loss_x: 0.3727 | Loss_u: 0.0218 | W: 2.5854
(37/512) Data: 0.523s | Batch: 23.864s | Total: 0:14:42 | ETA: 0:00:00 | Loss: 0.4325 | Loss_x: 0.3757 | Loss_u: 0.0219 | W: 2.5879
(38/512) Data: 0.515s | Batch: 23.843s | Total: 0:15:06 | ETA: 0:00:00 | Loss: 0.4357 | Loss_x: 0.3787 | Loss_u: 0.0220 | W: 2.5903
(39/512) Data: 0.508s | Batch: 23.835s | Total: 0:15:29 | ETA: 0:00:00 | Loss: 0.4333 | Loss_x: 0.3770 | Loss_u: 0.0217 | W: 2.5928
(40/512) Data: 0.510s | Batch: 23.894s | Total: 0:15:55 | ETA: 0:00:00 | Loss: 0.4321 | Loss_x: 0.3758 | Loss_u: 0.0217 | W: 2.5952
(41/512) Data: 0.513s | Batch: 23.914s | Total: 0:16:20 | ETA: 0:00:00 | Loss: 0.4260 | Loss_x: 0.3697 | Loss_u: 0.0217 | W: 2.5977
(42/512) Data: 0.507s | Batch: 23.916s | Total: 0:16:44 | ETA: 0:00:00 | Loss: 0.4201 | Loss_x: 0.3649 | Loss_u: 0.0212 | W: 2.6001
(43/512) Data: 0.501s | Batch: 23.905s | Total: 0:17:07 | ETA: 0:00:00 | Loss: 0.4165 | Loss_x: 0.3622 | Loss_u: 0.0209 | W: 2.6025
(44/512) Data: 0.495s | Batch: 23.895s | Total: 0:17:31 | ETA: 0:00:00 | Loss: 0.4099 | Loss_x: 0.3564 | Loss_u: 0.0206 | W: 2.6050
(45/512) Data: 0.489s | Batch: 23.911s | Total: 0:17:55 | ETA: 0:00:00 | Loss: 0.4059 | Loss_x: 0.3529 | Loss_u: 0.0204 | W: 2.6074
(46/512) Data: 0.494s | Batch: 23.934s | Total: 0:18:20 | ETA: 0:00:00 | Loss: 0.4055 | Loss_x: 0.3522 | Loss_u: 0.0205 | W: 2.6099
(47/512) Data: 0.488s | Batch: 23.917s | Total: 0:18:44 | ETA: 0:00:00 | Loss: 0.3992 | Loss_x: 0.3462 | Loss_u: 0.0203 | W: 2.6123
(48/512) Data: 0.483s | Batch: 23.942s | Total: 0:19:09 | ETA: 0:00:00 | Loss: 0.4008 | Loss_x: 0.3481 | Loss_u: 0.0202 | W: 2.6147
