********Training has started***************
 Epoch: [1 | 30]
(35/512) Data: 0.239s | Batch: 22.909s | Total: 0:13:21 | ETA: 0:00:00 | Loss: 0.4141 | Loss_x: 0.3538 | Loss_u: 0.0233 | W: 2.5830
(36/512) Data: 0.239s | Batch: 22.895s | Total: 0:13:44 | ETA: 0:00:00 | Loss: 0.4124 | Loss_x: 0.3521 | Loss_u: 0.0233 | W: 2.5854
(37/512) Data: 0.239s | Batch: 22.888s | Total: 0:14:06 | ETA: 0:00:00 | Loss: 0.4114 | Loss_x: 0.3508 | Loss_u: 0.0233 | W: 2.5879
(38/512) Data: 0.239s | Batch: 22.873s | Total: 0:14:29 | ETA: 0:00:00 | Loss: 0.4172 | Loss_x: 0.3551 | Loss_u: 0.0239 | W: 2.5903
(39/512) Data: 0.238s | Batch: 22.876s | Total: 0:14:52 | ETA: 0:00:00 | Loss: 0.4147 | Loss_x: 0.3526 | Loss_u: 0.0239 | W: 2.5928
(40/512) Data: 0.238s | Batch: 22.864s | Total: 0:15:14 | ETA: 0:00:00 | Loss: 0.4185 | Loss_x: 0.3567 | Loss_u: 0.0237 | W: 2.5952
(41/512) Data: 0.238s | Batch: 22.854s | Total: 0:15:37 | ETA: 0:00:00 | Loss: 0.4116 | Loss_x: 0.3503 | Loss_u: 0.0235 | W: 2.5977
(42/512) Data: 0.238s | Batch: 22.846s | Total: 0:15:59 | ETA: 0:00:00 | Loss: 0.4063 | Loss_x: 0.3457 | Loss_u: 0.0233 | W: 2.6001
(43/512) Data: 0.238s | Batch: 22.836s | Total: 0:16:21 | ETA: 0:00:00 | Loss: 0.4022 | Loss_x: 0.3419 | Loss_u: 0.0231 | W: 2.6025
(44/512) Data: 0.238s | Batch: 22.828s | Total: 0:16:44 | ETA: 0:00:00 | Loss: 0.3960 | Loss_x: 0.3362 | Loss_u: 0.0229 | W: 2.6050
(45/512) Data: 0.239s | Batch: 22.817s | Total: 0:17:06 | ETA: 0:00:00 | Loss: 0.3917 | Loss_x: 0.3323 | Loss_u: 0.0227 | W: 2.6074
(46/512) Data: 0.239s | Batch: 22.810s | Total: 0:17:29 | ETA: 0:00:00 | Loss: 0.3926 | Loss_x: 0.3331 | Loss_u: 0.0228 | W: 2.6099
(47/512) Data: 0.239s | Batch: 22.808s | Total: 0:17:52 | ETA: 0:00:00 | Loss: 0.3883 | Loss_x: 0.3275 | Loss_u: 0.0232 | W: 2.6123
(48/512) Data: 0.239s | Batch: 22.801s | Total: 0:18:14 | ETA: 0:00:00 | Loss: 0.3904 | Loss_x: 0.3294 | Loss_u: 0.0233 | W: 2.6147
(49/512) Data: 0.239s | Batch: 22.795s | Total: 0:18:36 | ETA: 0:00:00 | Loss: 0.3928 | Loss_x: 0.3317 | Loss_u: 0.0233 | W: 2.6172
(50/512) Data: 0.239s | Batch: 22.789s | Total: 0:18:59 | ETA: 0:00:00 | Loss: 0.3970 | Loss_x: 0.3353 | Loss_u: 0.0235 | W: 2.6196
