********Training has started***************
 Epoch: [1 | 30]
(35/512) Data: 1.653s | Batch: 25.042s | Total: 0:14:36 | ETA: 0:00:00 | Loss: 0.4458 | Loss_x: 0.3943 | Loss_u: 0.0200 | W: 2.5830
(36/512) Data: 1.653s | Batch: 25.015s | Total: 0:15:00 | ETA: 0:00:00 | Loss: 0.4419 | Loss_x: 0.3904 | Loss_u: 0.0199 | W: 2.5854
(37/512) Data: 1.651s | Batch: 24.984s | Total: 0:15:24 | ETA: 0:00:00 | Loss: 0.4404 | Loss_x: 0.3895 | Loss_u: 0.0197 | W: 2.5879
(38/512) Data: 1.651s | Batch: 24.956s | Total: 0:15:48 | ETA: 0:00:00 | Loss: 0.4355 | Loss_x: 0.3853 | Loss_u: 0.0194 | W: 2.5903
(39/512) Data: 1.650s | Batch: 24.934s | Total: 0:16:12 | ETA: 0:00:00 | Loss: 0.4362 | Loss_x: 0.3852 | Loss_u: 0.0197 | W: 2.5928
(40/512) Data: 1.647s | Batch: 24.918s | Total: 0:16:36 | ETA: 0:00:00 | Loss: 0.4389 | Loss_x: 0.3878 | Loss_u: 0.0197 | W: 2.5952
(41/512) Data: 1.652s | Batch: 24.904s | Total: 0:17:01 | ETA: 0:00:00 | Loss: 0.4330 | Loss_x: 0.3821 | Loss_u: 0.0196 | W: 2.5977
(42/512) Data: 1.646s | Batch: 24.892s | Total: 0:17:25 | ETA: 0:00:00 | Loss: 0.4343 | Loss_x: 0.3835 | Loss_u: 0.0196 | W: 2.6001
(43/512) Data: 1.648s | Batch: 24.893s | Total: 0:17:50 | ETA: 0:00:00 | Loss: 0.4305 | Loss_x: 0.3804 | Loss_u: 0.0193 | W: 2.6025
(44/512) Data: 1.650s | Batch: 24.883s | Total: 0:18:14 | ETA: 0:00:00 | Loss: 0.4233 | Loss_x: 0.3741 | Loss_u: 0.0189 | W: 2.6050
(45/512) Data: 1.656s | Batch: 24.877s | Total: 0:18:39 | ETA: 0:00:00 | Loss: 0.4240 | Loss_x: 0.3755 | Loss_u: 0.0186 | W: 2.6074
(46/512) Data: 1.653s | Batch: 24.858s | Total: 0:19:03 | ETA: 0:00:00 | Loss: 0.4278 | Loss_x: 0.3785 | Loss_u: 0.0189 | W: 2.6099
(47/512) Data: 1.653s | Batch: 24.844s | Total: 0:19:27 | ETA: 0:00:00 | Loss: 0.4299 | Loss_x: 0.3804 | Loss_u: 0.0190 | W: 2.6123
(48/512) Data: 1.649s | Batch: 24.823s | Total: 0:19:51 | ETA: 0:00:00 | Loss: 0.4235 | Loss_x: 0.3745 | Loss_u: 0.0188 | W: 2.6147
(49/512) Data: 1.648s | Batch: 24.807s | Total: 0:20:15 | ETA: 0:00:00 | Loss: 0.4217 | Loss_x: 0.3732 | Loss_u: 0.0186 | W: 2.6172
(50/512) Data: 1.647s | Batch: 24.792s | Total: 0:20:39 | ETA: 0:00:00 | Loss: 0.4192 | Loss_x: 0.3711 | Loss_u: 0.0184 | W: 2.6196
(51/512) Data: 1.652s | Batch: 24.785s | Total: 0:21:04 | ETA: 0:00:00 | Loss: 0.4234 | Loss_x: 0.3746 | Loss_u: 0.0187 | W: 2.6221
(52/512) Data: 1.645s | Batch: 24.774s | Total: 0:21:28 | ETA: 0:00:00 | Loss: 0.4177 | Loss_x: 0.3698 | Loss_u: 0.0183 | W: 2.6245
(53/512) Data: 1.646s | Batch: 24.772s | Total: 0:21:52 | ETA: 0:00:00 | Loss: 0.4198 | Loss_x: 0.3712 | Loss_u: 0.0185 | W: 2.6270
(54/512) Data: 1.647s | Batch: 24.761s | Total: 0:22:17 | ETA: 0:00:00 | Loss: 0.4139 | Loss_x: 0.3661 | Loss_u: 0.0183 | W: 2.6294
(55/512) Data: 1.650s | Batch: 24.755s | Total: 0:22:41 | ETA: 0:00:00 | Loss: 0.4086 | Loss_x: 0.3613 | Loss_u: 0.0180 | W: 2.6318
(56/512) Data: 1.649s | Batch: 24.742s | Total: 0:23:05 | ETA: 0:00:00 | Loss: 0.4047 | Loss_x: 0.3581 | Loss_u: 0.0178 | W: 2.6343
(57/512) Data: 1.647s | Batch: 24.726s | Total: 0:23:29 | ETA: 0:00:00 | Loss: 0.4032 | Loss_x: 0.3564 | Loss_u: 0.0178 | W: 2.6367
(58/512) Data: 1.644s | Batch: 24.712s | Total: 0:23:53 | ETA: 0:00:00 | Loss: 0.4034 | Loss_x: 0.3563 | Loss_u: 0.0179 | W: 2.6392
(59/512) Data: 1.646s | Batch: 24.705s | Total: 0:24:17 | ETA: 0:00:00 | Loss: 0.3986 | Loss_x: 0.3517 | Loss_u: 0.0178 | W: 2.6416
(60/512) Data: 1.645s | Batch: 24.694s | Total: 0:24:41 | ETA: 0:00:00 | Loss: 0.4033 | Loss_x: 0.3556 | Loss_u: 0.0181 | W: 2.6440
(61/512) Data: 1.640s | Batch: 24.677s | Total: 0:25:05 | ETA: 0:00:00 | Loss: 0.4045 | Loss_x: 0.3570 | Loss_u: 0.0180 | W: 2.6465
(62/512) Data: 1.641s | Batch: 24.666s | Total: 0:25:29 | ETA: 0:00:00 | Loss: 0.4026 | Loss_x: 0.3550 | Loss_u: 0.0180 | W: 2.6489
(63/512) Data: 1.643s | Batch: 24.658s | Total: 0:25:53 | ETA: 0:00:00 | Loss: 0.3990 | Loss_x: 0.3517 | Loss_u: 0.0179 | W: 2.6514
(64/512) Data: 1.642s | Batch: 24.648s | Total: 0:26:17 | ETA: 0:00:00 | Loss: 0.3976 | Loss_x: 0.3506 | Loss_u: 0.0178 | W: 2.6538
(65/512) Data: 1.639s | Batch: 24.639s | Total: 0:26:41 | ETA: 0:00:00 | Loss: 0.3973 | Loss_x: 0.3502 | Loss_u: 0.0178 | W: 2.6562
(66/512) Data: 1.640s | Batch: 24.631s | Total: 0:27:05 | ETA: 0:00:00 | Loss: 0.3982 | Loss_x: 0.3514 | Loss_u: 0.0177 | W: 2.6587
(67/512) Data: 1.637s | Batch: 24.621s | Total: 0:27:29 | ETA: 0:00:00 | Loss: 0.3981 | Loss_x: 0.3514 | Loss_u: 0.0176 | W: 2.6611
(68/512) Data: 1.634s | Batch: 24.610s | Total: 0:27:53 | ETA: 0:00:00 | Loss: 0.3985 | Loss_x: 0.3519 | Loss_u: 0.0176 | W: 2.6636
