********Training has started***************
 Epoch: [1 | 30]
(35/512) Data: 0.440s | Batch: 36.865s | Total: 0:21:30 | ETA: 0:00:00 | Loss: 0.4343 | Loss_x: 0.3786 | Loss_u: 0.0215 | W: 2.5830
(36/512) Data: 0.443s | Batch: 36.823s | Total: 0:22:05 | ETA: 0:00:00 | Loss: 0.4311 | Loss_x: 0.3761 | Loss_u: 0.0213 | W: 2.5854
(37/512) Data: 0.442s | Batch: 36.739s | Total: 0:22:39 | ETA: 0:00:00 | Loss: 0.4347 | Loss_x: 0.3791 | Loss_u: 0.0215 | W: 2.5879
(38/512) Data: 0.442s | Batch: 36.655s | Total: 0:23:12 | ETA: 0:00:00 | Loss: 0.4388 | Loss_x: 0.3827 | Loss_u: 0.0216 | W: 2.5903
(39/512) Data: 0.439s | Batch: 36.591s | Total: 0:23:47 | ETA: 0:00:00 | Loss: 0.4364 | Loss_x: 0.3807 | Loss_u: 0.0215 | W: 2.5928
(40/512) Data: 0.439s | Batch: 36.543s | Total: 0:24:21 | ETA: 0:00:00 | Loss: 0.4340 | Loss_x: 0.3785 | Loss_u: 0.0214 | W: 2.5952
(41/512) Data: 0.437s | Batch: 36.485s | Total: 0:24:55 | ETA: 0:00:00 | Loss: 0.4280 | Loss_x: 0.3728 | Loss_u: 0.0213 | W: 2.5977
(42/512) Data: 0.436s | Batch: 36.401s | Total: 0:25:28 | ETA: 0:00:00 | Loss: 0.4217 | Loss_x: 0.3676 | Loss_u: 0.0208 | W: 2.6001
(43/512) Data: 0.434s | Batch: 36.346s | Total: 0:26:02 | ETA: 0:00:00 | Loss: 0.4188 | Loss_x: 0.3652 | Loss_u: 0.0206 | W: 2.6025
(44/512) Data: 0.432s | Batch: 36.284s | Total: 0:26:36 | ETA: 0:00:00 | Loss: 0.4123 | Loss_x: 0.3593 | Loss_u: 0.0204 | W: 2.6050
(45/512) Data: 0.431s | Batch: 36.236s | Total: 0:27:10 | ETA: 0:00:00 | Loss: 0.4080 | Loss_x: 0.3556 | Loss_u: 0.0202 | W: 2.6074
(46/512) Data: 0.430s | Batch: 36.184s | Total: 0:27:44 | ETA: 0:00:00 | Loss: 0.4080 | Loss_x: 0.3552 | Loss_u: 0.0203 | W: 2.6099
(47/512) Data: 0.429s | Batch: 36.116s | Total: 0:28:17 | ETA: 0:00:00 | Loss: 0.4011 | Loss_x: 0.3489 | Loss_u: 0.0200 | W: 2.6123
(48/512) Data: 0.427s | Batch: 36.054s | Total: 0:28:50 | ETA: 0:00:00 | Loss: 0.4024 | Loss_x: 0.3502 | Loss_u: 0.0200 | W: 2.6147
(49/512) Data: 0.426s | Batch: 35.986s | Total: 0:29:23 | ETA: 0:00:00 | Loss: 0.4043 | Loss_x: 0.3520 | Loss_u: 0.0200 | W: 2.6172
(50/512) Data: 0.424s | Batch: 35.937s | Total: 0:29:56 | ETA: 0:00:00 | Loss: 0.4078 | Loss_x: 0.3544 | Loss_u: 0.0204 | W: 2.6196
(51/512) Data: 0.422s | Batch: 35.885s | Total: 0:30:30 | ETA: 0:00:00 | Loss: 0.4038 | Loss_x: 0.3505 | Loss_u: 0.0203 | W: 2.6221
(52/512) Data: 0.421s | Batch: 35.835s | Total: 0:31:03 | ETA: 0:00:00 | Loss: 0.4072 | Loss_x: 0.3533 | Loss_u: 0.0205 | W: 2.6245
(53/512) Data: 0.419s | Batch: 35.791s | Total: 0:31:36 | ETA: 0:00:00 | Loss: 0.4056 | Loss_x: 0.3521 | Loss_u: 0.0204 | W: 2.6270
(54/512) Data: 0.417s | Batch: 35.759s | Total: 0:32:11 | ETA: 0:00:00 | Loss: 0.4062 | Loss_x: 0.3527 | Loss_u: 0.0204 | W: 2.6294
(55/512) Data: 0.415s | Batch: 35.712s | Total: 0:32:44 | ETA: 0:00:00 | Loss: 0.4023 | Loss_x: 0.3492 | Loss_u: 0.0202 | W: 2.6318
(56/512) Data: 0.414s | Batch: 35.660s | Total: 0:33:16 | ETA: 0:00:00 | Loss: 0.3980 | Loss_x: 0.3451 | Loss_u: 0.0201 | W: 2.6343
(57/512) Data: 0.413s | Batch: 35.619s | Total: 0:33:50 | ETA: 0:00:00 | Loss: 0.4002 | Loss_x: 0.3465 | Loss_u: 0.0204 | W: 2.6367
(58/512) Data: 0.411s | Batch: 35.578s | Total: 0:34:23 | ETA: 0:00:00 | Loss: 0.3987 | Loss_x: 0.3449 | Loss_u: 0.0204 | W: 2.6392
(59/512) Data: 0.410s | Batch: 35.537s | Total: 0:34:56 | ETA: 0:00:00 | Loss: 0.4016 | Loss_x: 0.3480 | Loss_u: 0.0203 | W: 2.6416
(60/512) Data: 0.408s | Batch: 35.494s | Total: 0:35:29 | ETA: 0:00:00 | Loss: 0.4048 | Loss_x: 0.3511 | Loss_u: 0.0203 | W: 2.6440
(61/512) Data: 0.407s | Batch: 35.459s | Total: 0:36:03 | ETA: 0:00:00 | Loss: 0.4052 | Loss_x: 0.3516 | Loss_u: 0.0203 | W: 2.6465
(62/512) Data: 0.405s | Batch: 35.430s | Total: 0:36:36 | ETA: 0:00:00 | Loss: 0.4022 | Loss_x: 0.3490 | Loss_u: 0.0201 | W: 2.6489
(63/512) Data: 0.404s | Batch: 35.396s | Total: 0:37:09 | ETA: 0:00:00 | Loss: 0.4024 | Loss_x: 0.3493 | Loss_u: 0.0201 | W: 2.6514
(64/512) Data: 0.402s | Batch: 35.362s | Total: 0:37:43 | ETA: 0:00:00 | Loss: 0.4029 | Loss_x: 0.3501 | Loss_u: 0.0199 | W: 2.6538
(65/512) Data: 0.402s | Batch: 35.332s | Total: 0:38:16 | ETA: 0:00:00 | Loss: 0.3999 | Loss_x: 0.3470 | Loss_u: 0.0200 | W: 2.6562
(66/512) Data: 0.402s | Batch: 35.304s | Total: 0:38:50 | ETA: 0:00:00 | Loss: 0.3964 | Loss_x: 0.3435 | Loss_u: 0.0199 | W: 2.6587
(67/512) Data: 0.401s | Batch: 35.276s | Total: 0:39:23 | ETA: 0:00:00 | Loss: 0.3972 | Loss_x: 0.3443 | Loss_u: 0.0199 | W: 2.6611
(68/512) Data: 0.400s | Batch: 35.245s | Total: 0:39:56 | ETA: 0:00:00 | Loss: 0.3968 | Loss_x: 0.3440 | Loss_u: 0.0199 | W: 2.6636
(69/512) Data: 0.399s | Batch: 35.215s | Total: 0:40:29 | ETA: 0:00:00 | Loss: 0.3982 | Loss_x: 0.3455 | Loss_u: 0.0198 | W: 2.6660
(70/512) Data: 0.399s | Batch: 35.186s | Total: 0:41:03 | ETA: 0:00:00 | Loss: 0.3984 | Loss_x: 0.3455 | Loss_u: 0.0199 | W: 2.6685
